slug,nome,final_url,provider,confianca,sinal,cache_used
,WESLEY SILVA RAMOS,https://www.wrleiloes.com.br/,proprio_html,low,stack=jquery; bootstrap,static
,Cirlei Freitas Balbino Da Silva,https://balbinoleiloes.com.br/,desconhecido,n/a,no rule matched,static
,MANOEL LUIZ NEVES VELHO,https://www.leilaobutia.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,NATÁLIA NARITA NUNES DE FREITAS,https://www.natalialeiloes.com.br/,soleon,high,meta_author=SOLEON,static
rodrigo-schmitz,Rodrigo Schmitz,https://www.hammer.lel.br/,soleon,high,meta_author=SOLEON,static
,FERNANDO JOSE CERELLO GONCALVES PEREIRA,https://www.megaleiloes.com.br/,mega_leiloes,high,host=www.megaleiloes.com.br,static
,João Luiz de França Neto,https://www.ccjleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,LUCAS FERREIRA,https://www.leiloeirodian.com.br/,desconhecido,n/a,no rule matched,static
,LUCIANO SCHEID,https://scheidleiloes.com.br/,leilao_pro,high,link:leilao.pro,static
,EDER JORDAN DE SOUZA,https://oreidosleiloes.com.br/,bomvalor,high,bomvalor.com.br,static
,ANTONIO CARLOS PERES BERNARDINI,http://ww17.bernardinileiloes.com.br/,parked_ww17,medium,host=ww17.* + html<5KB,static
marco-tulio-montenegro-cavalcanti-dias,Marco Túlio Montenegro Cavalcanti Dias,https://www.marcotulioleiloes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,LUANA VIDAL INEU,https://www.ineuleiloes.com.br/,proprio_html,low,stack=jquery; bootstrap,static
,UNO DUARTE ARAÚJO DOS SANTOS,https://www.leiloes61.com.br/externo/,plataforma_leiloar,high,meta_author=Plataforma Leiloar,static
,DEONIZIA KIRATCH,https://www.deonizialeiloes.com.br/,leiloes_judiciais_br,high,leiloesjudiciaisbrasil/cesvibrasil,static
,ODARLI CANEZIN,https://www.odarlicanezinleiloes.com.br/,desconhecido,n/a,no rule matched,static
tiago-tessler-blecher,Tiago Tessler Blecher,https://dearaujoleiloes.com.br/externo/,proprio_html,low,stack=jquery; bootstrap,static
,JEAN CARLO ROSA,https://www.prosperarleiloes.com.br/externo/,plataforma_leiloar,high,plataformaleiloar.com.br,static
,UNO HENRIQUE LOPES,https://www.brunoleiloes.com.br/,leiloes_judiciais_br,high,leiloesjudiciaisbrasil/cesvibrasil,static
,Sergio Fleury Batista,https://leilo.com.br/,proprio_html,low,stack=vue; jquery; bootstrap,static
anderson-douglas-gali-falleiros,Anderson Douglas Gali Falleiros,https://www.falleirosleiloes.com.br/proximos_leiloes/1/1/,degrau_publicidade,medium,link:degraupublicidade.com.br,static
,NICOLAS TADASHI MATSUNE,https://www.tadashileiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,IONEIDE MARIA FERNANDES SAMPAIO,https://www.almoedaleiloes.com.br/externo/,proprio_html,low,stack=jquery; bootstrap,static
,LEILA NANCI KARASIAKI,https://www.lkleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,Gutemberg da Silva Araújo,https://www.gutembergaraujoleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,LEONICE FIXER,http://www.capitalvalorleiloes.com.br/,leiloes_judiciais_br,high,leiloesjudiciaisbrasil/cesvibrasil,static
,LEOMAR KIRINUS,https://www.leomarkirinusleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,JOSÉ PAULO PEREIRA CARVALHO BONATTO,https://leiloeirobonatto.com/,wordpress,medium,stack=WordPress,static
,LUCIENE MARQUES DE SOUSA BARRETO,https://www.marquesbarretoleiloes.com.br/externo/,marques_barreto,high,spider-específico:marques_barreto,static
,ÁULIO FERREIRA NETO,https://braunaleiloes.blogspot.com/,proprio_html,low,stack=bootstrap,static
,João Paulo Mineiro Bezerra,https://www.bezerraleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,JOSEANE DE AVILA SCOTTO,https://www.scottoleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,OZIAS TAVARES PEREIRA,https://www.parquedosleiloes.com.br/,desconhecido,n/a,no rule matched,static
,JOÍO VITOR MARTINS FERREIRA,https://www.jmfleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,VILTON PEREIRA DA SILVA,https://www.innovaleiloes.com.br/,plataforma_leiloar,high,plataformaleiloar.com.br,static
,Ivana Montenegro Castelo Branco Rocha,https://www.patiorochaleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,JOÍO LUIZ DE OLIVEIRA,https://www.joaoluizleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,Thiago Barros Cardoso,https://www.tbaracajuleiloes.com.br/,leiloesbr,high,link:leiloesbr.com.br,static
,JOSÉ FERNANDO DE QUINA,https://www.qleilao.lel.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,Arnaldo Emílio Colombarolli,https://arnaldoleiloes.com.br/home/,proprio_html,low,stack=jquery,static
,Kátia Cerqueira da Silva Casaes,https://www.kcleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,JEREMY WU SANTIAGO DA COSTA E SILVA,https://www.jeremyleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,Alex Willian Hope,https://www.hoppeleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,Ronald de Freitas Moreira,https://www.rofremleiloes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,JOSÉ LUIS PARDO SANTAYANA CARDOSO,https://www.santayanaleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,VIRIATO DOMINGUES CRAVO,https://www.cravoleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,Cristiane de Almeida Rabelo Góis,https://www.realizaleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,JOSÉ ALMIRO CHAGAS DE ALENCASTRO,https://www.alencastroleiloes.com.br/,wordpress,medium,stack=WordPress,static
,SANDRA DE FATIMA SANTOS,https://www.sandrasantosleiloes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,Tábata Mineiro Bezerra,https://www.bezerraleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,JOSÉ CLÓVIS VAZ DE SOUZA,https://www.clovisleiloeiro.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,FLAVIA KLOCKNER RODRIGUES,http://www.fkleiloes.com.br/,plataforma_leiloar,high,plataformaleiloar.com.br,static
,JORGE SIDIRLEI DE GODOY BRASIL,https://www.jorgebrasil.lel.br/index.htm,desconhecido,n/a,no rule matched,static
,KAIO ALBUQUERQUE ROSA BOTELHO,https://www.duxleiloes.com.br/,plataforma_leiloar,high,plataformaleiloar.com.br,static
,GALVÍO ADENYR LOPES JUNIOR,https://lancejusto.com.br/,leilotech,high,leilotech.com.br,static
,Clauberto Fernandes Nascimento Júnior,https://www.hatoryleiloes.com.br/externo/,plataforma_leiloar,high,plataformaleiloar.com.br,static
,Hidirlene Duszeiko,https://www.hdleiloes.com.br/,leiloes_judiciais_br,high,leiloesjudiciaisbrasil/cesvibrasil,static
,Rodrigo Collyer Santos de Oliveira,https://www.rodrigoleiloeiro.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,Mauro Colodete,https://colodeteleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,Péricles Luciano Santos de Jesus,https://www.centraldosleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,EDUARDO JESUS BORDIGNON,https://www.leilopar.com.br/,soleon,high,meta_author=SOLEON,static
,Renata Murta Moreira,https://www.gpleiloes.com.br/#/,desconhecido,n/a,no rule matched,static
,FERNANDA RIBEIRO,https://ferleiloes.com.br/,leilotech,high,leilotech.com.br,static
,JORGE ERLI RITTA,https://www.jritta.lel.br/,leilao_pro,high,meta_author=Leilão Pro,static
,JOHN LEVY ZAGO AMARAL,https://www.zagoleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,Orlando Lopes Fernandes,https://www.leilobras.lel.br/,wordpress,medium,stack=WordPress,static
,Maurício Paes Inácio,https://www.hastaleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,CONRADO AUGUSTO CARVALHO DE MAGALHÍES,http://www.magalhaesleiloes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,JOÃO HONOR COIROLLO DE SOUZA,https://www.jgcargneluttileiloes.com.br/,soleon,high,meta_author=SOLEON,static
,Alexandre Buaiz Neto,https://www.buaizleiloes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,Pedro Miranda Jinkings,https://www.milhaoleiloes.com.br/proximos_leiloes/1/1/,degrau_publicidade,medium,link:degraupublicidade.com.br,static
,CAROLINE FERREIRA BARBOZA,https://www.bzleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,Luciana Londina da Silva,http://ww17.londinaleiloes.com.br/,parked_ww17,medium,host=ww17.* + html<5KB,static
,Antônio Romero Ferreira da Silva,https://www.ccjleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,JOÃO GUILHERME CARGNELUTTI,https://www.jgcargneluttileiloes.com.br/,soleon,high,meta_author=SOLEON,static
,WERNO KLÖCKNER JÚNIOR,https://www.kleiloes.com.br/#,suporte_leiloes,medium,link:suporteleiloes.com.br,static
rudival-almeida-gomes-junior,Rudival Almeida Gomes Junior,https://www.rjleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,ARTUR NOGARI DOS SANTOS,https://www.nogarileiloes.com.br/,soleon,high,meta_author=SOLEON,static
,João Simões de Almeida Júnior,https://www.simoesleiloes.com.br/,desconhecido,n/a,no rule matched,static
,JOÃO ANTÔNIO CARGNELUTTI,https://www.cargneluttileiloes.com.br/,soleon,high,meta_author=SOLEON,static
,ALEXANDRE AUGUSTO DOS SANTOS SABBAG,https://www.sabbagleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,Horany Costa do Nascimento,https://www.wermelingerleiloes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,JEFFERSON HORTA BARBOSA RIBEIRO MENDES,https://www.mendesleiloes.com.br/,proprio_html,low,stack=jquery; bootstrap,static
,Arthur Ferreira Nunes,https://leiloes.arthurnunes.leilao.br/,leilao_br,high,host=leiloes.arthurnunes.leilao.br,static
,Eustácio Medeiros Neves,https://eustacio.com.br/,wordpress,medium,stack=WordPress,static
,EDUARDO HENRIQUE FIRMINO:,https://www.casamartillo.com.br/,soleon,high,meta_author=SOLEON,static
,Fábio Maciel Amarante,https://nortedeminasleiloes.com.br/,proprio_html,low,stack=jquery; bootstrap,static
